Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
CUERVO.MX,30.57,02/10/2018,14:59 CDT,0,30.61,30.79,30.42,700178,,,,,,,
BBAJIOO.MX,46.75,02/10/2018,14:59 CDT,-0.27999878,46.93,47,45.82,1773813,20180723,44.67,1,,,,
WALMEX.MX,54.72,02/10/2018,14:59 CDT,-1.5599976,55.9,56.62,54.66,9405647,,,,,,,
NEMAKA.MX,15.71,02/10/2018,14:59 CDT,0.4800005,15.18,16.48,15.15,2543063,,,,,,,
NAFTRACISHRS.MX,49.32,02/10/2018,14:59 CDT,-0.42000198,49.92,49.92,49.24,18265050,,,,,,,
MEXCHEM.MX,64.18,02/10/2018,14:59 CDT,0.1800003,63.85,64.53,63.85,1955865,,,,,,,
LIVEPOLC-1.MX,143.92,02/10/2018,14:59 CDT,2.050003,141.8,144.91,141.8,282716,,,,,,,
LABB.MX,16.5,02/10/2018,14:59 CDT,0.5500002,15.85,16.59,15.85,2438557,,,,,,,
GRUMAB.MX,239.46,02/10/2018,14:59 CDT,1.3700104,237.98,240.6,236.91,911073,,,,,,,
GMEXICOB.MX,54.7,02/10/2018,14:59 CDT,0.26000214,54.52,55.25,54.31,7507779,,,,,,,
GFNORTEO.MX,132.25,02/10/2018,14:59 CDT,-4.130005,136.48,136.98,132.06,5444977,20180726,127,1,,,,
CEMEXCPO.MX,13.12,02/10/2018,14:59 CDT,-0.23999977,13.33,13.44,13.1,14672832,20180726,13.43,1,,,,
ASURB.MX,383.18,02/10/2018,14:59 CDT,-1.8200073,382.27,384.77,376.69,204298,,,,,,,
AMXL.MX,15.16,02/10/2018,14:59 CDT,-0.07999992,15.24,15.31,15.07,21345201,,,,,,,
ALFAA.MX,23.88,02/10/2018,14:59 CDT,0,23.9,24.13,23.52,5108887,20180723,23.88,1,,,,
AC.MX,121.37,02/10/2018,14:59 CDT,-0.7999954,121.87,121.87,119.21,1160266,,,,,,,
